is_buggy,h1,h2,N1,N2,complexity,loc,lloc,sloc,comments,multi,blank,single_comments,no_of_files,no_of_added_files,no_of_added_python_files,no_of_modified_files,no_of_modified_python_files,no_of_copied_files,no_of_copied_python_files,no_of_deleted_files,no_of_deleted_python_files,author_previous_commits,author_previous_file_changes
1,0,0,0,0,0,1,1,1,0,0,0,0,10,0,0,10,10,0,0,0,0,0,0
1,0,0,0,0,1,2,2,2,0,0,0,0,132,0,0,132,132,0,0,0,0,0,0
1,0,0,0,0,1,2,1,2,0,0,0,0,30,0,0,30,30,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,30,0,0,30,30,0,0,0,0,0,0
1,0,0,0,0,0,2,0,0,2,0,0,2,30,0,0,30,30,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,30,0,0,0,0,0,0
1,0,0,0,0,1,16,1,16,0,0,0,0,7,0,0,7,5,0,0,0,0,0,0
1,3,5,3,5,6,11,10,10,1,0,0,1,4,0,0,2,1,0,0,2,2,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,1,3,4,4,6,6,6,6,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,9,0,0,2,0,0,0,7,4,0,0
1,0,0,0,0,1,24,1,0,0,22,2,0,19,0,0,19,16,0,0,0,0,0,0
1,0,0,0,0,1,45,1,0,0,41,4,0,23,0,0,23,15,0,0,0,0,0,0
1,1,3,3,6,1,16,13,14,0,0,2,0,4,0,0,4,4,0,0,0,0,0,0
1,1,2,1,2,1,1,1,1,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0
1,1,2,1,2,1,2,1,2,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0
1,1,2,1,2,1,1,1,1,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0
1,0,0,0,0,4,4,5,4,0,0,0,0,8,0,0,7,7,0,0,1,1,0,0
1,0,0,0,0,2,2,3,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,0,0,0,1,11,0,0,8,3,0,0,3,3,0,0
